file,display_name,corpus,error,timestamp
/app/archive/역사기록/2000/20080414_한국CCC 창립 50주년 성지 순례/metadata_20080414_한국CCC 창립 50주년 성지 순례.json,metadata_20080414_한국CCC 창립 50주년 성지 순례.json,fileSearchStores/ccc-u1tzko8vhbnt,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-18T02:50:05.728638
/app/archive/역사기록/2000/20090700_2009 여름 단기선교/metadata_20090700_2009 여름 단기선교.json,metadata_20090700_2009 여름 단기선교.json,fileSearchStores/ccc-u1tzko8vhbnt,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-18T02:50:56.199475
/app/archive/역사기록/2000/20091002_유성 김준곤 목사 장례예배/metadata_20091002_유성 김준곤 목사 장례예배.json,metadata_20091002_유성 김준곤 목사 장례예배.json,fileSearchStores/ccc-u1tzko8vhbnt,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-18T02:52:26.264186
/app/archive/역사기록/2000/20070702_CM2007(세계 청년대학생 지도자 수련회)/metadata_20070702_CM2007(세계 청년대학생 지도자 수련회).json,metadata_20070702_CM2007(세계 청년대학생 지도자 수련회).json,fileSearchStores/ccc-u1tzko8vhbnt,"('Connection aborted.', TimeoutError('timed out'))",2025-12-18T02:54:03.297902
/app/archive/역사기록/2000/20080701_2008 러브제주/metadata_20080701_2008 러브제주.json,metadata_20080701_2008 러브제주.json,fileSearchStores/ccc-u1tzko8vhbnt,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-18T03:00:20.981760
/app/archive/역사기록/2000/20080100_2008 겨울 단기선교/metadata_20080100_2008 겨울 단기선교.json,metadata_20080100_2008 겨울 단기선교.json,fileSearchStores/ccc-u1tzko8vhbnt,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-18T03:01:44.423135
/app/archive/역사기록/2000/20081228_2009 대학생 원단금식수련회/metadata_20081228_2009 대학생 원단금식수련회.json,metadata_20081228_2009 대학생 원단금식수련회.json,fileSearchStores/ccc-u1tzko8vhbnt,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-18T03:01:52.777255
/app/archive/역사기록/2000/20071226_2008 대학생 원단금식수련회/metadata_20071226_2008 대학생 원단금식수련회.json,metadata_20071226_2008 대학생 원단금식수련회.json,fileSearchStores/ccc-u1tzko8vhbnt,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-18T03:03:09.776120
/app/archive/역사기록/2000/20060626_2006 전국 대학생 여름수련회/metadata_20060626_2006 전국 대학생 여름수련회.json,metadata_20060626_2006 전국 대학생 여름수련회.json,fileSearchStores/ccc-u1tzko8vhbnt,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-18T03:06:12.109341
/app/archive/역사기록/2010/20100628_2010 전국 대학생 여름수련회/metadata_20100628_2010 전국 대학생 여름수련회.json,metadata_20100628_2010 전국 대학생 여름수련회.json,fileSearchStores/ccc-u1tzko8vhbnt,"('Connection aborted.', TimeoutError('timed out'))",2025-12-18T03:14:44.603407
/app/archive/역사기록/2010/20120730_2012 선교한국/metadata_20120730_2012 선교한국.json,metadata_20120730_2012 선교한국.json,fileSearchStores/ccc-u1tzko8vhbnt,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-18T03:17:02.300160
/app/archive/역사기록/2010/20180626_엑스플로2018 제주선교대회/metadata_20180626_엑스플로2018 제주선교대회.json,metadata_20180626_엑스플로2018 제주선교대회.json,fileSearchStores/ccc-u1tzko8vhbnt,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-18T03:25:40.168787
