file,display_name,corpus,operation_name,error,timestamp
/app/archive/역사기록/1970/19730415_1973 서울지구 신입생 환영예배/metadata_19730415_1973 서울지구 신입생 환영예배.json,metadata_19730415_1973 서울지구 신입생 환영예배.json,fileSearchStores/ccc-sp39ygty7ddk,,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-10T03:52:28.455850
/app/archive/역사기록/1960/19650227_1965 국회조찬기도회 창립/metadata_19650227_1965 국회조찬기도회 창립.json,metadata_19650227_1965 국회조찬기도회 창립.json,fileSearchStores/ccc-sp39ygty7ddk,,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-10T03:52:28.457469
/app/archive/역사기록/1960/19620405_1962 학생 전도강연회/metadata_19620405_1962 학생 전도강연회.json,metadata_19620405_1962 학생 전도강연회.json,fileSearchStores/ccc-sp39ygty7ddk,,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-10T03:52:28.457885
/app/archive/역사기록/1970/19740520_엑스플로74 전주대회/metadata_19740520_엑스플로74 전주대회.json,metadata_19740520_엑스플로74 전주대회.json,fileSearchStores/ccc-sp39ygty7ddk,,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-10T03:52:28.458151
/app/archive/역사기록/1970/19730612_1973 군종사병 보수교육/metadata_19730612_1973 군종사병 보수교육.json,metadata_19730612_1973 군종사병 보수교육.json,fileSearchStores/ccc-sp39ygty7ddk,,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-10T03:52:28.459168
/app/archive/역사기록/1960/19661015_1966 전주지구 순소풍/metadata_19661015_1966 전주지구 순소풍.json,metadata_19661015_1966 전주지구 순소풍.json,fileSearchStores/ccc-sp39ygty7ddk,,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-10T03:52:28.462082
/app/archive/역사기록/1970/19730102_1973 사랑방 성서학교운동 요원 강습회/metadata_19730102_1973 사랑방 성서학교운동 요원 강습회.json,metadata_19730102_1973 사랑방 성서학교운동 요원 강습회.json,fileSearchStores/ccc-sp39ygty7ddk,,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-10T03:52:28.462171
/app/archive/역사기록/1970/19720504_1972 제3회 CCC의 밤/metadata_19720504_1972 제3회 CCC의 밤.json,metadata_19720504_1972 제3회 CCC의 밤.json,fileSearchStores/ccc-sp39ygty7ddk,,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-10T03:52:28.462251
/app/archive/역사기록/1970/19730602_1973 서울지구 빌브라이트 박사 환영예배/metadata_19730602_1973 서울지구 빌브라이트 박사 환영예배.json,metadata_19730602_1973 서울지구 빌브라이트 박사 환영예배.json,fileSearchStores/ccc-sp39ygty7ddk,,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-10T03:52:28.462880
/app/archive/역사기록/1970/19730716_1973 서울지구 하계 성서대학/metadata_19730716_1973 서울지구 하계 성서대학.json,metadata_19730716_1973 서울지구 하계 성서대학.json,fileSearchStores/ccc-sp39ygty7ddk,,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-10T03:52:28.513553
/app/archive/역사기록/1970/19720215_1972 전국 간사 LTI/metadata_19720215_1972 전국 간사 LTI.json,metadata_19720215_1972 전국 간사 LTI.json,fileSearchStores/ccc-sp39ygty7ddk,,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-10T03:52:28.513744
/app/archive/역사기록/1970/19700000_1970년대/metadata_19700000_1970년대.json,metadata_19700000_1970년대.json,fileSearchStores/ccc-sp39ygty7ddk,,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-10T03:52:28.514592
/app/archive/역사기록/1970/19700501_1970 제3회 국가조찬기도회/metadata_19700501_1970 제3회 국가조찬기도회.json,metadata_19700501_1970 제3회 국가조찬기도회.json,fileSearchStores/ccc-sp39ygty7ddk,,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-10T03:52:28.514646
