file,display_name,corpus,operation_name,error,timestamp
/app/archive/역사기록/1990/19950517_GCOWE95(세계선교대회)/metadata_19950517_GCOWE95(세계선교대회).json,metadata_19950517_GCOWE95(세계선교대회).json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.365147
/app/archive/역사기록/1990/19950520_SM2000대회/metadata_19950520_SM2000대회.json,metadata_19950520_SM2000대회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.365664
/app/archive/역사기록/1990/19950703_1995 전국 대학생 여름수련회/metadata_19950703_1995 전국 대학생 여름수련회.json,metadata_19950703_1995 전국 대학생 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.366267
/app/archive/역사기록/1990/19950802_1995 전국 나사렛 여름수련회/metadata_19950802_1995 전국 나사렛 여름수련회.json,metadata_19950802_1995 전국 나사렛 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.383651
/app/archive/역사기록/1990/19951227_1996 대학생 원단금식수련회/metadata_19951227_1996 대학생 원단금식수련회.json,metadata_19951227_1996 대학생 원단금식수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.395557
/app/archive/역사기록/1990/19960700_1996 여름 단기선교/metadata_19960700_1996 여름 단기선교.json,metadata_19960700_1996 여름 단기선교.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.504053
/app/archive/역사기록/1990/19960724_1996 전국 청소년 여름수련회/metadata_19960724_1996 전국 청소년 여름수련회.json,metadata_19960724_1996 전국 청소년 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.504494
/app/archive/역사기록/1990/19961225_1997 대학생 원단금식수련회/metadata_19961225_1997 대학생 원단금식수련회.json,metadata_19961225_1997 대학생 원단금식수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.511394
/app/archive/역사기록/1990/19971225_1998 대학생 원단금식수련회/metadata_19971225_1998 대학생 원단금식수련회.json,metadata_19971225_1998 대학생 원단금식수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.512063
/app/archive/역사기록/1990/19980630_1998 전국 대학생 여름수련회/metadata_19980630_1998 전국 대학생 여름수련회.json,metadata_19980630_1998 전국 대학생 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.517538
/app/archive/역사기록/1990/19981230_99 한국 교회 원단 비상 구국 금식기도 성회/metadata_19981230_99 한국 교회 원단 비상 구국 금식기도 성회.json,metadata_19981230_99 한국 교회 원단 비상 구국 금식기도 성회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.523597
/app/archive/역사기록/1990/19990726_엑스플로99 인천대회/metadata_19990726_엑스플로99 인천대회.json,metadata_19990726_엑스플로99 인천대회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.560891
/app/archive/역사기록/2000/20001226_2001 대학생 원단금식수련회/metadata_20001226_2001 대학생 원단금식수련회.json,metadata_20001226_2001 대학생 원단금식수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.573683
/app/archive/역사기록/2000/20000703_2000 전국 대학생 여름수련회/metadata_20000703_2000 전국 대학생 여름수련회.json,metadata_20000703_2000 전국 대학생 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.574824
/app/archive/역사기록/2000/20000731_2000 전국 청소년 여름수련회/metadata_20000731_2000 전국 청소년 여름수련회.json,metadata_20000731_2000 전국 청소년 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.575491
/app/archive/역사기록/2000/20000802_2000 전국 나사렛 여름수련회/metadata_20000802_2000 전국 나사렛 여름수련회.json,metadata_20000802_2000 전국 나사렛 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.576253
/app/archive/역사기록/2000/20001231_민족화합과 통일을 위한 새천년 구국금식 기도회/metadata_20001231_민족화합과 통일을 위한 새천년 구국금식 기도회.json,metadata_20001231_민족화합과 통일을 위한 새천년 구국금식 기도회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.595715
/app/archive/역사기록/2000/20010512_2001 전국 대학생 여름수련회를 위한 여호수아 기도회/metadata_20010512_2001 전국 대학생 여름수련회를 위한 여호수아 기도회.json,metadata_20010512_2001 전국 대학생 여름수련회를 위한 여호수아 기도회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.617317
/app/archive/역사기록/2000/20010730_2001 전국 청소년 여름수련회/metadata_20010730_2001 전국 청소년 여름수련회.json,metadata_20010730_2001 전국 청소년 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.621976
/app/archive/역사기록/2000/20010702_2001 전국 대학생 여름수련회/metadata_20010702_2001 전국 대학생 여름수련회.json,metadata_20010702_2001 전국 대학생 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.644001
/app/archive/역사기록/2000/20010700_2001 여름 단기선교/metadata_20010700_2001 여름 단기선교.json,metadata_20010700_2001 여름 단기선교.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.652421
/app/archive/역사기록/2000/20011025_2002 월드컵 기독시민운동 전국대회/metadata_20011025_2002 월드컵 기독시민운동 전국대회.json,metadata_20011025_2002 월드컵 기독시민운동 전국대회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.660115
/app/archive/역사기록/2000/20020701_2002 전국 대학생 여름수련회/metadata_20020701_2002 전국 대학생 여름수련회.json,metadata_20020701_2002 전국 대학생 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.699871
/app/archive/역사기록/2000/20030430_2003 본부 간사가족 체육대회/metadata_20030430_2003 본부 간사가족 체육대회.json,metadata_20030430_2003 본부 간사가족 체육대회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.699952
/app/archive/역사기록/2000/20020415_2002 전국 간사가족 수련회/metadata_20020415_2002 전국 간사가족 수련회.json,metadata_20020415_2002 전국 간사가족 수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.706714
/app/archive/역사기록/2000/20020504_2002 전국 대학생 여름수련회를 위한 여호수아 기도회/metadata_20020504_2002 전국 대학생 여름수련회를 위한 여호수아 기도회.json,metadata_20020504_2002 전국 대학생 여름수련회를 위한 여호수아 기도회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.710401
/app/archive/역사기록/2000/20030630_2003 전국 대학생 여름수련회/metadata_20030630_2003 전국 대학생 여름수련회.json,metadata_20030630_2003 전국 대학생 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.712386
/app/archive/역사기록/2000/20030728_2003 전국 청소년 여름수련회/metadata_20030728_2003 전국 청소년 여름수련회.json,metadata_20030728_2003 전국 청소년 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.729457
/app/archive/역사기록/2000/20031228_2004 대학생 원단금식수련회/metadata_20031228_2004 대학생 원단금식수련회.json,metadata_20031228_2004 대학생 원단금식수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.743699
/app/archive/역사기록/2000/20041227_2005 대학생 원단금식수련회/metadata_20041227_2005 대학생 원단금식수련회.json,metadata_20041227_2005 대학생 원단금식수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.821981
/app/archive/역사기록/2000/20050202_2005 대학생 통일봉사단 위탁교육/metadata_20050202_2005 대학생 통일봉사단 위탁교육.json,metadata_20050202_2005 대학생 통일봉사단 위탁교육.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.835464
/app/archive/역사기록/2000/20040726_2004 전국 청소년 여름수련회/metadata_20040726_2004 전국 청소년 여름수련회.json,metadata_20040726_2004 전국 청소년 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.835552
/app/archive/역사기록/2000/20050418_2005 전국 간사가족 수련회/metadata_20050418_2005 전국 간사가족 수련회.json,metadata_20050418_2005 전국 간사가족 수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.851919
/app/archive/역사기록/2000/20040628_2004 전국 대학생 여름수련회/metadata_20040628_2004 전국 대학생 여름수련회.json,metadata_20040628_2004 전국 대학생 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.852846
/app/archive/역사기록/2000/20051111_2005 순천지구 홈커밍데이/metadata_20051111_2005 순천지구 홈커밍데이.json,metadata_20051111_2005 순천지구 홈커밍데이.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.875687
/app/archive/역사기록/2000/20050627_2005 전국 대학생 여름수련회/metadata_20050627_2005 전국 대학생 여름수련회.json,metadata_20050627_2005 전국 대학생 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.881113
/app/archive/역사기록/2000/20050700_2005 여름 단기선교/metadata_20050700_2005 여름 단기선교.json,metadata_20050700_2005 여름 단기선교.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.915984
/app/archive/역사기록/2000/20060429_2006 전국 대학생 여름수련회를 위한 여호수아 기도회/metadata_20060429_2006 전국 대학생 여름수련회를 위한 여호수아 기도회.json,metadata_20060429_2006 전국 대학생 여름수련회를 위한 여호수아 기도회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.932967
/app/archive/역사기록/2000/20051124_2005 CCC 워십 페스티발/metadata_20051124_2005 CCC 워십 페스티발.json,metadata_20051124_2005 CCC 워십 페스티발.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.934037
/app/archive/역사기록/2000/20060806_GCTC 26기 수료/metadata_20060806_GCTC 26기 수료.json,metadata_20060806_GCTC 26기 수료.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.942136
/app/archive/역사기록/2000/20061226_2007 대학생 원단금식수련회/metadata_20061226_2007 대학생 원단금식수련회.json,metadata_20061226_2007 대학생 원단금식수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.964047
/app/archive/역사기록/2000/20070806_2007 전국 청소년 여름수련회/metadata_20070806_2007 전국 청소년 여름수련회.json,metadata_20070806_2007 전국 청소년 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.989549
/app/archive/역사기록/2000/20071220_2007 본부 간사가족 성탄축하의 밤/metadata_20071220_2007 본부 간사가족 성탄축하의 밤.json,metadata_20071220_2007 본부 간사가족 성탄축하의 밤.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.998664
/app/archive/역사기록/2000/20070100_2007 겨울 단기선교/metadata_20070100_2007 겨울 단기선교.json,metadata_20070100_2007 겨울 단기선교.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.010186
/app/archive/역사기록/2000/20060626_2006 전국 대학생 여름수련회/metadata_20060626_2006 전국 대학생 여름수련회.json,metadata_20060626_2006 전국 대학생 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.014235
/app/archive/역사기록/2000/20080100_2008 겨울 단기선교/metadata_20080100_2008 겨울 단기선교.json,metadata_20080100_2008 겨울 단기선교.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.198445
/app/archive/역사기록/2000/20080220_2008 제1회 간사자녀캠프/metadata_20080220_2008 제1회 간사자녀캠프.json,metadata_20080220_2008 제1회 간사자녀캠프.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.200654
/app/archive/역사기록/2000/20071226_2008 대학생 원단금식수련회/metadata_20071226_2008 대학생 원단금식수련회.json,metadata_20071226_2008 대학생 원단금식수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.201527
/app/archive/역사기록/2000/20080814_2008 전국 나사렛 여름수련회/metadata_20080814_2008 전국 나사렛 여름수련회.json,metadata_20080814_2008 전국 나사렛 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.256502
/app/archive/역사기록/2000/20080823_GCTC 28기 수료/metadata_20080823_GCTC 28기 수료.json,metadata_20080823_GCTC 28기 수료.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.262219
/app/archive/역사기록/2000/20080414_한국CCC 창립 50주년 성지 순례/metadata_20080414_한국CCC 창립 50주년 성지 순례.json,metadata_20080414_한국CCC 창립 50주년 성지 순례.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.331239
/app/archive/역사기록/2000/20070702_CM2007(세계 청년대학생 지도자 수련회)/metadata_20070702_CM2007(세계 청년대학생 지도자 수련회).json,metadata_20070702_CM2007(세계 청년대학생 지도자 수련회).json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.408940
